,Component 1,Component 2
750,-9.642519,8.975955
751,0.3137748,0.82227784
752,4.94238,4.8846583
753,11.013534,-0.027816366
754,-5.891621,-7.373445
755,-7.257638,-8.774101
756,5.232368,4.388023
757,-4.2747116,-6.0205207
758,11.117723,-0.2871399
759,-5.962956,10.041734
760,0.2971515,-4.4961224
761,-0.14425345,-4.1499023
762,-1.6066068,-4.263448
763,-11.256983,11.942255
764,-6.8876767,7.1981044
765,3.0324488,4.3805614
766,-4.6813583,8.558629
767,0.6003003,-3.147581
768,4.187881,3.4900563
769,-6.6582046,6.368433
770,-7.832221,-8.630381
771,10.031914,-0.80226135
772,0.5675984,-1.5300429
773,-1.6990751,3.1785376
774,7.229782,0.14605658
775,3.4873312,1.1741647
776,3.8550897,1.969951
777,-6.4211674,-7.147793
778,-4.8458285,-6.2986093
779,-7.4451694,-6.928088
780,3.6250923,2.2336924
781,6.0410733,-2.3223784
782,2.7515738,3.8824213
783,-7.829066,6.830573
784,-6.656513,-6.5258126
785,-2.1612055,-3.0693407
786,-5.461117,-5.9090905
787,10.452998,0.9676569
788,-4.518991,-6.696941
789,-0.8460864,-5.2593346
790,-7.0910583,-9.436118
791,10.365251,0.572426
792,-5.5189614,4.8781667
793,8.832916,0.61175823
794,-7.046567,-7.256494
795,8.800662,1.0357113
796,11.177393,-1.4753511
797,0.66890645,-5.0599546
798,3.912193,2.2427812
799,13.30416,-1.1159126
800,10.584116,0.08885821
801,0.0972855,-1.7394071
802,-7.4232683,9.901182
803,-5.6760044,-7.0863967
804,-9.357261,10.698895
805,-5.2218547,-7.789527
806,-5.671627,1.5088452
807,8.159476,-1.0450805
808,-7.9250007,8.627094
809,3.6175377,1.6468747
810,9.093095,-1.5154501
811,-6.2224345,-7.113159
812,2.4742892,0.6398009
813,-5.859973,2.9231231
814,1.6853253,3.573759
815,0.582532,3.8395348
816,-4.2769823,-6.0804973
817,-4.8411565,-6.7609158
818,10.530497,0.12657848
819,-0.21091846,-3.4354987
820,0.7122253,-4.2411923
821,-9.623032,11.901967
822,0.628412,-3.5043733
